NAME,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Total,Avg,TM TGT %,Rec,Catch %,TD
"Drake London","ATL",1,"6%","25%","16%","23%","24%","26%","28%","21%","","19%","","33%","19%","28%","15%","12%","30%","26%",110,6.9,20.8,69,62.7,2
"Andrei Iosivas","CIN",2,"","","","","4%","3%","","3%","2%","2%","","8%","","","5%","19%","","25%",25,1.6,4.1,15,60,4
"Davante Adams","OAK",1,"35%","33%","45%","33%","13%","16%","27%","33%","28%","48%","32%","21%","","31%","33%","29%","45%","25%",175,10.3,31.4,103,58.9,8
"Diontae Johnson","PIT",1,"13%","","","","","","24%","33%","30%","17%","29%","24%","19%","19%","23%","19%","17%","25%",87,6.7,17.2,51,58.6,5
"Garrett Wilson","NYJ",1,"23%","30%","25%","36%","27%","36%","","36%","27%","35%","27%","26%","18%","39%","11%","31%","22%","25%",168,9.9,28,95,56.5,3
"Mike Evans","TB",1,"29%","24%","40%","9%","","27%","19%","14%","17%","34%","27%","29%","41%","21%","21%","26%","12%","25%",136,8,23.9,79,58.1,13
"Michael Pittman Jr.","IND",1,"28%","36%","25%","20%","27%","25%","22%","32%","31%","43%","","32%","38%","28%","18%","","30%","25%",156,9.8,27.2,109,69.9,4
"Puka Nacua","LAR",1,"39%","36%","21%","25%","30%","29%","41%","22%","25%","","23%","24%","19%","20%","24%","32%","24%","25%",159,9.4,27.4,105,65.6,6
"Xavier Gipson","NYJ",1,"","","","3%","","","","3%","4%","8%","7%","5%","16%","3%","16%","4%","16%","25%",38,2.2,6.3,21,55.3,
"Chris Conley","SF",2,"","","","","","","","","","","","","","","","","","23%",6,0.8,1.2,3,50,
"Calvin Ridley","JAX",1,"34%","19%","17%","7%","22%","27%","13%","31%","","9%","28%","16%","21%","26%","28%","20%","33%","23%",136,8,21.9,76,55.9,8
"Cedric Tillman","CLE",1,"","","","8%","","","","","3%","9%","5%","12%","14%","9%","18%","5%","14%","23%",44,3.1,7.1,21,47.7,
"Bo Melton","GB",2,"","","","","","","","","","","","","","","5%","21%","26%","22%",24,4.8,4.1,16,66.7,1
"Chris Godwin","TB",1,"18%","24%","20%","33%","","19%","29%","17%","20%","21%","16%","23%","10%","38%","43%","29%","15%","22%",130,7.6,22.9,83,63.8,2
"DJ Chark Jr.","CAR",1,"","3%","19%","9%","15%","15%","","13%","8%","","","13%","13%","11%","8%","22%","19%","22%",66,4.4,11.3,35,53,5
"Dontayvion Wicks","GB",2,"7%","16%","14%","3%","3%","","3%","10%","15%","10%","12%","","11%","15%","18%","7%","","22%",58,3.9,10,39,67.2,4
"Josh Reynolds","DET",1,"20%","17%","","21%","18%","7%","6%","3%","","12%","6%","9%","12%","11%","9%","10%","6%","22%",64,3.8,10.6,40,62.5,5
"DK Metcalf","SEA",1,"19%","15%","22%","15%","","22%","","38%","14%","26%","22%","33%","20%","16%","18%","17%","24%","21%",119,7.4,20.7,66,55.5,8
"Darius Slayton","NYG",1,"17%","16%","18%","9%","12%","17%","7%","14%","24%","15%","19%","12%","","10%","21%","9%","15%","21%",79,4.6,15.3,50,63.3,4
"Ja'Marr Chase","CIN",1,"28%","20%","31%","30%","41%","37%","","38%","18%","15%","23%","23%","31%","16%","10%","","21%","21%",145,9.1,23.6,100,69,7
"Joshua Palmer","LAC",1,"3%","12%","15%","33%","","19%","23%","10%","","","","","","","12%","24%","","21%",61,6.1,9.7,38,62.3,2
"Stefon Diggs","BUF",1,"32%","19%","38%","28%","28%","53%","29%","30%","18%","19%","25%","22%","","26%","33%","38%","23%","21%",160,9.4,27.6,107,66.9,8
"Zay Jones","JAX",1,"22%","14%","","","14%","","","","","","12%","8%","21%","28%","19%","","","21%",64,7.1,10.3,34,53.1,2
"Brandin Cooks","DAL",1,"16%","","18%","11%","15%","13%","","12%","5%","23%","10%","16%","10%","13%","18%","6%","21%","20%",81,5.1,13.2,54,66.7,8
"Jalen Reagor","NE",1,"","","","","","","3%","7%","14%","","","","4%","4%","6%","6%","12%","20%",24,2.2,4.3,7,29.2,
"Michael Wilson","ARI",1,"13%","10%","10%","17%","6%","10%","15%","16%","","19%","","","","","8%","11%","19%","20%",58,4.5,10.5,38,65.5,3
"Ronnie Bell","SF",1,"","","5%","5%","4%","","","","","4%","","","","","4%","2%","4%","19%",13,0.8,2.6,6,46.2,3
"Trey Palmer","TB",1,"9%","6%","4%","9%","","19%","5%","14%","13%","14%","13%","16%","17%","3%","7%","17%","15%","19%",68,4,12,39,57.4,3
"Jordan Addison","MIN",1,"14%","11%","16%","5%","19%","16%","22%","23%","19%","21%","19%","31%","","8%","18%","11%","16%","18%",108,6.4,17.1,70,64.8,10
"Jerry Jeudy","DEN",1,"","16%","18%","18%","23%","23%","17%","32%","","10%","20%","14%","15%","18%","22%","14%","19%","18%",87,5.4,17,54,62.1,2
"Jaxon Smith-Njigba","SEA",1,"19%","15%","8%","23%","","12%","29%","11%","25%","11%","15%","11%","27%","23%","12%","19%","6%","18%",93,5.5,16.2,63,67.7,4
"Nelson Agholor","BAL",1,"","18%","13%","11%","13%","10%","4%","4%","3%","9%","4%","6%","","12%","4%","11%","9%","18%",45,2.6,9.1,35,77.8,4
"Wan'Dale Robinson","NYG",1,"","","15%","18%","19%","22%","7%","7%","17%","11%","15%","20%","","33%","11%","22%","22%","18%",78,5.2,15.1,60,76.9,1
"Alec Pierce","IND",1,"8%","6%","16%","8%","8%","11%","13%","12%","8%","4%","","15%","14%","8%","18%","19%","4%","17%",65,3.8,11.3,32,49.2,2
"Adam Thielen","CAR",1,"5%","27%","24%","25%","32%","33%","","35%","15%","26%","38%","10%","19%","19%","29%","22%","19%","17%",137,8.1,23.4,103,75.2,4
"Demario Douglas","NE",1,"13%","5%","10%","10%","6%","","20%","24%","16%","33%","","26%","","","16%","24%","19%","17%",78,5.6,14,49,62.8,
"Rondale Moore","ARI",1,"10%","3%","29%","5%","16%","17%","12%","8%","10%","25%","3%","7%","9%","","8%","8%","13%","17%",62,3.6,11.2,40,64.5,1
"Tutu Atwell","LAR",1,"21%","16%","27%","22%","14%","4%","7%","12%","25%","","10%","9%","5%","2%","","","","17%",67,4.2,11.5,39,58.2,3
"Jakobi Meyers","OAK",1,"38%","","27%","10%","32%","22%","29%","5%","20%","7%","12%","21%","","19%","11%","24%","21%","16%",106,6.6,19,71,67,8
"Khalil Shakir","BUF",1,"","3%","3%","4%","2%","3%","10%","15%","11%","8%","12%","10%","","2%","7%","14%","13%","16%",45,2.6,7.8,39,86.7,2
"Tre Tucker","OAK",2,"","4%","","","3%","6%","7%","","12%","","17%","3%","","3%","11%","5%","11%","16%",34,2.1,6.1,19,55.9,2
"Brandon Aiyuk","SF",1,"28%","24%","","29%","28%","37%","20%","29%","","11%","24%","13%","26%","33%","18%","15%","29%","15%",105,6.6,21.4,75,71.4,7
"Brandon Johnson","DEN",2,"9%","9%","8%","4%","3%","9%","","","","","","","","","3%","14%","19%","15%",30,2.3,5.8,19,63.3,4
"Chris Moore","TEN",2,"3%","4%","12%","12%","","5%","","","5%","10%","6%","14%","3%","3%","15%","7%","12%","15%",35,2.1,7.1,22,62.9,
"David Bell","CLE",2,"3%","8%","","","","9%","","","","","","5%","5%","7%","","5%","10%","15%",23,1.5,3.7,14,60.9,3
